g_id,home_team,away_team,home_final_score,away_final_score,date,umpire_HP,umpire_1B,umpire_2B,umpire_3B,start_time,venue_name,weather,wind,elapsed_time,attendance
201900001.0,oak,ana,4.0,0.0,2019-03-28,,,,,,Oakland Coliseum,,,,
201900002.0,lan,ari,12.0,5.0,2019-03-28,,,,,,Dodger Stadium,,,,
201900003.0,phi,atl,10.0,4.0,2019-03-28,,,,,,Citizens Bank Park,,,,
201900004.0,nya,bal,7.0,2.0,2019-03-28,,,,,,Yankee Stadium,,,,
201900005.0,sea,bos,12.0,4.0,2019-03-28,,,,,,T-Mobile Park,,,,
201900006.0,kca,cha,5.0,3.0,2019-03-28,,,,,,Kauffman Stadium,,,,
201900007.0,tex,chn,4.0,12.0,2019-03-28,,,,,,Globe Life Park in Arlington,,,,
201900008.0,min,cle,2.0,0.0,2019-03-28,,,,,,Target Field,,,,
201900009.0,mia,col,3.0,6.0,2019-03-28,,,,,,Marlins Park,,,,
201900010.0,tor,det,0.0,2.0,2019-03-28,,,,,,Rogers Centre,,,,
201900011.0,tba,hou,1.0,5.0,2019-03-28,,,,,,Tropicana Field,,,,
201900012.0,was,nyn,0.0,2.0,2019-03-28,,,,,,Nationals Park,,,,
201900013.0,cin,pit,5.0,3.0,2019-03-28,,,,,,Great American Ball Park,,,,
201900014.0,sdn,sfn,2.0,0.0,2019-03-28,,,,,,Petco Park,,,,
201900015.0,mil,sln,5.0,4.0,2019-03-28,,,,,,Miller Park,,,,
201900016.0,oak,ana,2.0,6.0,2019-03-29,,,,,,Oakland Coliseum,,,,
201900017.0,lan,ari,4.0,5.0,2019-03-29,,,,,,Dodger Stadium,,,,
201900018.0,sea,bos,6.0,7.0,2019-03-29,,,,,,T-Mobile Park,,,,
201900019.0,mia,col,1.0,6.0,2019-03-29,,,,,,Marlins Park,,,,
201900020.0,tor,det,6.0,0.0,2019-03-29,,,,,,Rogers Centre,,,,
201900021.0,tba,hou,4.0,2.0,2019-03-29,,,,,,Tropicana Field,,,,
201900022.0,sdn,sfn,4.0,1.0,2019-03-29,,,,,,Petco Park,,,,
201900023.0,mil,sln,5.0,9.0,2019-03-29,,,,,,Miller Park,,,,
201900024.0,oak,ana,4.0,2.0,2019-03-30,,,,,,Oakland Coliseum,,,,
201900025.0,lan,ari,18.0,5.0,2019-03-30,,,,,,Dodger Stadium,,,,
201900026.0,phi,atl,8.0,6.0,2019-03-30,,,,,,Citizens Bank Park,,,,
201900027.0,nya,bal,3.0,5.0,2019-03-30,,,,,,Yankee Stadium,,,,
201900028.0,sea,bos,6.0,5.0,2019-03-30,,,,,,T-Mobile Park,,,,
201900029.0,kca,cha,8.0,6.0,2019-03-30,,,,,,Kauffman Stadium,,,,
201900030.0,tex,chn,8.0,6.0,2019-03-30,,,,,,Globe Life Park in Arlington,,,,
201900031.0,min,cle,1.0,2.0,2019-03-30,,,,,,Target Field,,,,
201900032.0,mia,col,7.0,3.0,2019-03-30,,,,,,Marlins Park,,,,
201900033.0,tor,det,3.0,0.0,2019-03-30,,,,,,Rogers Centre,,,,
201900034.0,tba,hou,3.0,1.0,2019-03-30,,,,,,Tropicana Field,,,,
201900035.0,was,nyn,8.0,11.0,2019-03-30,,,,,,Nationals Park,,,,
201900036.0,sdn,sfn,2.0,3.0,2019-03-30,,,,,,Petco Park,,,,
201900037.0,mil,sln,4.0,2.0,2019-03-30,,,,,,Miller Park,,,,
201900038.0,oak,ana,2.0,1.0,2019-03-31,,,,,,Oakland Coliseum,,,,
201900039.0,lan,ari,8.0,7.0,2019-03-31,,,,,,Dodger Stadium,,,,
201900040.0,phi,atl,5.0,1.0,2019-03-31,,,,,,Citizens Bank Park,,,,
201900041.0,nya,bal,5.0,7.0,2019-03-31,,,,,,Yankee Stadium,,,,
201900042.0,sea,bos,10.0,8.0,2019-03-31,,,,,,T-Mobile Park,,,,
201900043.0,kca,cha,3.0,6.0,2019-03-31,,,,,,Kauffman Stadium,,,,
201900044.0,tex,chn,11.0,10.0,2019-03-31,,,,,,Globe Life Park in Arlington,,,,
201900045.0,min,cle,9.0,3.0,2019-03-31,,,,,,Target Field,,,,
201900046.0,mia,col,3.0,0.0,2019-03-31,,,,,,Marlins Park,,,,
201900047.0,tor,det,3.0,4.0,2019-03-31,,,,,,Rogers Centre,,,,
201900048.0,tba,hou,3.0,1.0,2019-03-31,,,,,,Tropicana Field,,,,
201900049.0,was,nyn,6.0,5.0,2019-03-31,,,,,,Nationals Park,,,,
201900050.0,cin,pit,0.0,5.0,2019-03-31,,,,,,Great American Ball Park,,,,
201900051.0,sdn,sfn,3.0,1.0,2019-03-31,,,,,,Petco Park,,,,
201900052.0,mil,sln,5.0,4.0,2019-03-31,,,,,,Miller Park,,,,
201900053.0,sea,ana,6.0,3.0,2019-04-01,,,,,,T-Mobile Park,,,,
201900054.0,sdn,ari,3.0,10.0,2019-04-01,,,,,,Petco Park,,,,
201900055.0,tor,bal,5.0,6.0,2019-04-01,,,,,,Rogers Centre,,,,
201900056.0,oak,bos,7.0,0.0,2019-04-01,,,,,,Oakland Coliseum,,,,
201900057.0,cle,cha,5.0,3.0,2019-04-01,,,,,,Progressive Field,,,,
201900058.0,atl,chn,8.0,0.0,2019-04-01,,,,,,SunTrust Park,,,,
201900059.0,tba,col,7.0,1.0,2019-04-01,,,,,,Tropicana Field,,,,
201900060.0,nya,det,3.0,1.0,2019-04-01,,,,,,Yankee Stadium,,,,
201900061.0,tex,hou,1.0,2.0,2019-04-01,,,,,,Globe Life Park in Arlington,,,,
201900062.0,cin,mil,3.0,4.0,2019-04-01,,,,,,Great American Ball Park,,,,
201900063.0,mia,nyn,3.0,7.0,2019-04-01,,,,,,Marlins Park,,,,
201900064.0,lan,sfn,2.0,4.0,2019-04-01,,,,,,Dodger Stadium,,,,
201900065.0,pit,sln,5.0,6.0,2019-04-01,,,,,,PNC Park,,,,
201900066.0,sea,ana,2.0,1.0,2019-04-02,,,,,,T-Mobile Park,,,,
201900067.0,sdn,ari,5.0,8.0,2019-04-02,,,,,,Petco Park,,,,
201900068.0,tor,bal,1.0,2.0,2019-04-02,,,,,,Rogers Centre,,,,
201900069.0,oak,bos,1.0,0.0,2019-04-02,,,,,,Oakland Coliseum,,,,
201900070.0,tba,col,4.0,0.0,2019-04-02,,,,,,Tropicana Field,,,,
201900071.0,nya,det,1.0,3.0,2019-04-02,,,,,,Yankee Stadium,,,,
201900072.0,tex,hou,6.0,4.0,2019-04-02,,,,,,Globe Life Park in Arlington,,,,
201900073.0,cin,mil,3.0,4.0,2019-04-02,,,,,,Great American Ball Park,,,,
201900074.0,kca,min,4.0,5.0,2019-04-02,,,,,,Kauffman Stadium,,,,
201900075.0,mia,nyn,5.0,6.0,2019-04-02,,,,,,Marlins Park,,,,
201900076.0,was,phi,2.0,8.0,2019-04-02,,,,,,Nationals Park,,,,
201900077.0,lan,sfn,6.0,5.0,2019-04-02,,,,,,Dodger Stadium,,,,
201900078.0,sdn,ari,4.0,1.0,2019-04-03,,,,,,Petco Park,,,,
201900079.0,tor,bal,5.0,3.0,2019-04-03,,,,,,Rogers Centre,,,,
201900080.0,oak,bos,3.0,6.0,2019-04-03,,,,,,Oakland Coliseum,,,,
201900081.0,cle,cha,3.0,8.0,2019-04-03,,,,,,Progressive Field,,,,
201900082.0,atl,chn,6.0,4.0,2019-04-03,,,,,,SunTrust Park,,,,
201900083.0,tba,col,0.0,1.0,2019-04-03,,,,,,Tropicana Field,,,,
201900084.0,nya,det,1.0,2.0,2019-04-03,,,,,,Yankee Stadium,,,,
201900085.0,tex,hou,4.0,0.0,2019-04-03,,,,,,Globe Life Park in Arlington,,,,
201900086.0,cin,mil,0.0,1.0,2019-04-03,,,,,,Great American Ball Park,,,,
201900087.0,kca,min,6.0,7.0,2019-04-03,,,,,,Kauffman Stadium,,,,
201900088.0,mia,nyn,4.0,6.0,2019-04-03,,,,,,Marlins Park,,,,
201900089.0,was,phi,9.0,8.0,2019-04-03,,,,,,Nationals Park,,,,
201900090.0,lan,sfn,5.0,3.0,2019-04-03,,,,,,Dodger Stadium,,,,
201900091.0,pit,sln,4.0,5.0,2019-04-03,,,,,,PNC Park,,,,
201900092.0,oak,bos,7.0,3.0,2019-04-04,,,,,,Oakland Coliseum,,,,
201900093.0,atl,chn,9.0,4.0,2019-04-04,,,,,,SunTrust Park,,,,
201900094.0,pit,cin,2.0,0.0,2019-04-04,,,,,,PNC Park,,,,
201900095.0,det,kca,5.0,4.0,2019-04-04,,,,,,Comerica Park,,,,
201900096.0,bal,nya,4.0,8.0,2019-04-04,,,,,,Oriole Park at Camden Yards,,,,
201900097.0,ana,tex,4.0,11.0,2019-04-04,,,,,,Angel Stadium,,,,
201900098.0,cle,tor,4.0,1.0,2019-04-04,,,,,,Progressive Field,,,,
201900099.0,nyn,was,0.0,4.0,2019-04-04,,,,,,Citi Field,,,,
201900100.0,ari,bos,15.0,8.0,2019-04-05,,,,,,Chase Field,,,,
201900101.0,mil,chn,13.0,10.0,2019-04-05,,,,,,Miller Park,,,,
201900102.0,pit,cin,2.0,0.0,2019-04-05,,,,,,PNC Park,,,,
201900103.0,col,lan,6.0,10.0,2019-04-05,,,,,,Coors Field,,,,
201900104.0,atl,mia,4.0,0.0,2019-04-05,,,,,,SunTrust Park,,,,
201900105.0,phi,min,10.0,4.0,2019-04-05,,,,,,Citizens Bank Park,,,,
201900106.0,hou,oak,3.0,2.0,2019-04-05,,,,,,Minute Maid Park,,,,
201900107.0,sln,sdn,3.0,5.0,2019-04-05,,,,,,Busch Stadium,,,,
201900108.0,cha,sea,10.0,8.0,2019-04-05,,,,,,Guaranteed Rate Field,,,,
201900109.0,sfn,tba,2.0,5.0,2019-04-05,,,,,,Oracle Park,,,,
201900110.0,ana,tex,3.0,1.0,2019-04-05,,,,,,Angel Stadium,,,,
201900111.0,cle,tor,3.0,2.0,2019-04-05,,,,,,Progressive Field,,,,
201900112.0,ari,bos,5.0,4.0,2019-04-06,,,,,,Chase Field,,,,
201900113.0,mil,chn,8.0,14.0,2019-04-06,,,,,,Miller Park,,,,
201900114.0,pit,cin,6.0,5.0,2019-04-06,,,,,,PNC Park,,,,
201900115.0,det,kca,7.0,4.0,2019-04-06,,,,,,Comerica Park,,,,
201900116.0,col,lan,2.0,7.0,2019-04-06,,,,,,Coors Field,,,,
201900117.0,atl,mia,2.0,4.0,2019-04-06,,,,,,SunTrust Park,,,,
201900118.0,phi,min,2.0,6.0,2019-04-06,,,,,,Citizens Bank Park,,,,
201900119.0,bal,nya,4.0,6.0,2019-04-06,,,,,,Oriole Park at Camden Yards,,,,
201900120.0,hou,oak,6.0,0.0,2019-04-06,,,,,,Minute Maid Park,,,,
201900121.0,sln,sdn,4.0,6.0,2019-04-06,,,,,,Busch Stadium,,,,
201900122.0,cha,sea,2.0,9.0,2019-04-06,,,,,,Guaranteed Rate Field,,,,
201900123.0,sfn,tba,6.0,4.0,2019-04-06,,,,,,Oracle Park,,,,
201900124.0,ana,tex,5.0,1.0,2019-04-06,,,,,,Angel Stadium,,,,
201900125.0,cle,tor,7.0,2.0,2019-04-06,,,,,,Progressive Field,,,,
201900126.0,nyn,was,6.0,5.0,2019-04-06,,,,,,Citi Field,,,,
201900127.0,ari,bos,0.0,1.0,2019-04-07,,,,,,Chase Field,,,,
201900128.0,mil,chn,4.0,2.0,2019-04-07,,,,,,Miller Park,,,,
201900129.0,pit,cin,7.0,5.0,2019-04-07,,,,,,PNC Park,,,,
201900130.0,det,kca,3.0,1.0,2019-04-07,,,,,,Comerica Park,,,,
201900131.0,col,lan,6.0,12.0,2019-04-07,,,,,,Coors Field,,,,
201900132.0,atl,mia,4.0,3.0,2019-04-07,,,,,,SunTrust Park,,,,
201900133.0,phi,min,2.0,1.0,2019-04-07,,,,,,Citizens Bank Park,,,,
