ab_id,des,event_num,g_id,player_id,date,BS,CORRECT,team,is_home_team
2015003219,San Diego Padres center fielder Will Venable ejected by HP umpire Tripp Gibson III.  ,732,201500044,461416,4/9/15,,,sdn,TRUE
2015003219,San Diego Padres Manager Bud Black ejected by HP umpire Tripp Gibson III.  ,734,201500044,111034,4/9/15,,,sdn,TRUE
2015004134,Milwaukee Brewers second baseman Scooter Gennett ejected by HP umpire Mike Estabrook.  ,584,201500055,571697,4/10/15,Y,C,mil,TRUE
2015006692,Cincinnati Reds Manager Bryan Price ejected by 3B umpire Joe West.  ,557,201500088,427406,4/12/15,,,cin,TRUE
2015008446,Pittsburgh Pirates Manager Clint Hurdle ejected by HP umpire David Rackley.  ,402,201500111,116346,4/14/15,Y,I,pit,TRUE
2015008724,New York Mets Manager Terry Collins ejected by HP umpire Alfonso Marquez.  ,319,201500115,492632,4/14/15,,,nyn,TRUE
2015010563,Tampa Bay Rays Manager Kevin Cash ejected by HP umpire Laz Diaz.  ,519,201500139,408211,4/16/15,,,tba,FALSE
2015010843,Baltimore Orioles pitcher Ubaldo Jimenez ejected by HP umpire Jordan Baker.  ,254,201500143,434622,4/17/15,,,bal,FALSE
2015011598,Chicago Cubs Manager Joe Maddon ejected by HP umpire Sam Holbrook.  ,437,201500153,427309,4/17/15,Y,C,chn,TRUE
2015011738,Los Angeles Angels left fielder Collin Cowgill ejected by HP umpire Paul Nauert.  ,401,201500155,518577,4/18/15,Y,C,laa,FALSE
2015012524,Kansas City Royals pitcher Yordano Ventura ejected by HP umpire Jim Joyce.  ,211,201500166,570649,4/18/15,,,kca,TRUE
2015013070,Boston Red Sox designated hitter David Ortiz ejected by HP umpire John Tumpane.  ,375,201500173,120074,4/19/15,,,bos,TRUE
2015013616,Kansas City Royals Pitching Coach Dave Eiland ejected by HP umpire Greg Gibson.  ,63,201500181,113782,4/19/15,,,kca,TRUE
2015013616,Kansas City Royals Manager Ned Yost III ejected by HP umpire Greg Gibson.  ,65,201500181,124681,4/19/15,,,kca,TRUE
2015013668,Kansas City Royals pitcher Kelvin Herrera ejected by HP umpire Greg Gibson.  ,512,201500181,516969,4/19/15,,,kca,TRUE
2015013668,Kansas City Royals Bench Coach Don Wakamatsu ejected by 3B umpire Jim Joyce.  ,516,201500181,123798,4/19/15,,,kca,TRUE
2015013668,Kansas City Royals shortstop Alcides Escobar ejected by HP umpire Greg Gibson.  ,518,201500181,444876,4/19/15,,,kca,TRUE
2015013765,San Diego Padres Manager Bud Black ejected by HP umpire James Hoye.  ,114,201500183,111034,4/19/15,Y,C,sdn,FALSE
2015016226,Houston Astros Hitting Coach Dave Hudgens ejected by HP umpire Lance Barrett.  ,288,201500215,116256,4/22/15,Y,C,hou,FALSE
2015017285,Kansas City Royals center fielder Lorenzo Cain ejected by HP umpire Sam Holbrook.  ,421,201500229,456715,4/23/15,,,kca,FALSE
2015017285,Kansas City Royals pitcher Yordano Ventura ejected by HP umpire Sam Holbrook.  ,423,201500229,570649,4/23/15,,,kca,FALSE
2015017285,Kansas City Royals pitcher Edinson Volquez ejected by HP umpire Sam Holbrook.  ,425,201500229,450172,4/23/15,,,kca,FALSE
2015017285,Chicago White Sox pitcher Chris Sale ejected by HP umpire Sam Holbrook.  ,427,201500229,519242,4/23/15,,,cha,TRUE
2015017285,Chicago White Sox pitcher Jeff Samardzija ejected by HP umpire Sam Holbrook.  ,429,201500229,502188,4/23/15,,,cha,TRUE
2015017533,Detroit Tigers Manager Brad Ausmus ejected by 3B umpire Gerry Davis.  ,320,201500232,110385,4/23/15,,,det,TRUE
2015018429,New York Mets pitcher Jonathon Niese ejected by HP umpire Doug Eddings.  ,328,201500244,477003,4/24/15,Y,C,nyn,FALSE
2015018597,San Francisco Giants Manager Bruce Bochy ejected by HP umpire John Tumpane.  ,540,201500246,111136,4/24/15,Y,C,sfn,FALSE
2015019255,San Diego Padres right fielder Matt Kemp ejected by HP umpire Marty Foster.  ,536,201500255,461314,4/25/15,Y,C,sdn,TRUE
2015019649,Milwaukee Brewers Manager Ron Roenicke ejected by HP umpire Dale Scott.  ,415,201500260,121373,4/25/15,Y,I,mil,TRUE
2015020228,Oakland Athletics Manager Bob Melvin ejected by HP umpire Quinn Wolcott.  ,246,201500268,118942,4/26/15,Y,C,oak,TRUE
2015020436,Seattle Mariners Manager Lloyd McClendon ejected by HP umpire Sean Barber.  ,211,201500271,118576,4/26/15,,,sea,TRUE
2015020793,Texas Rangers Manager Jeff Banister ejected by HP umpire Manny Gonzalez.  ,517,201500275,110529,4/26/15,,,tex,FALSE
2015021907,Atlanta Braves first baseman Freddie Freeman ejected by 3B umpire John Hirschbeck.  ,337,201500290,518692,4/27/15,,,atl,TRUE
2015021924,Atlanta Braves left fielder Jonny Gomes ejected by HP umpire Bill Welke.  ,488,201500290,430404,4/27/15,,,atl,TRUE
2015027633,Oakland Athletics left fielder Craig Gentry ejected by HP umpire Andy Fletcher.  ,231,201500366,502226,5/3/15,Y,C,oak,FALSE
2015028281,Los Angeles Dodgers Manager Don Mattingly ejected by 1B umpire Paul Emmel.  ,165,201500374,118443,5/4/15,,,lan,FALSE
2015030025,Colorado Rockies Manager Walt Weiss ejected by HP umpire Bill Miller.  ,153,201500398,124054,5/6/15,Y,C,col,TRUE
2015030192,Chicago Cubs Manager Joe Maddon ejected by HP umpire D.   Reyburn.  ,346,201500400,427309,5/6/15,Y,C,chn,FALSE
2015030247,Cincinnati Reds first baseman Joey Votto ejected by HP umpire Chris Conroy.  ,146,201500401,458015,5/6/15,,,cin,FALSE
2015033318,Chicago White Sox Hitting Coach Todd Steverson ejected by HP umpire John Hirschbeck.  ,179,201500442,122771,5/9/15,Y,C,cha,TRUE
